note,title,author_hint,year,source_path,concepts
Paper - Huang-K-06-02-2025-Biomni--A-General-Purpose-Biomedical-AI-Agent---PubMed,Huang-K-06-02-2025-Biomni--A-General-Purpose-Biomedical-AI-Agent---PubMed,,2025,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/Huang-K-06-02-2025-Biomni--A-General-Purpose-Biomedical-AI-Agent---PubMed.pdf,Biomedical AI Agents
Paper - jamasurgery gowrishankar 2025 rv 250005 1749660686.74699-2,jamasurgery gowrishankar 2025 rv 250005 1749660686.74699-2,,2025,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/jamasurgery_gowrishankar_2025_rv_250005_1749660686.74699-2.pdf,Research Papers
Paper - jamasurgery gowrishankar 2025 rv 250005 1749660686.74699,jamasurgery gowrishankar 2025 rv 250005 1749660686.74699,,2025,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/jamasurgery_gowrishankar_2025_rv_250005_1749660686.74699.pdf,Research Papers
Paper - journal.pone.0291625,journal.pone.0291625,,,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/journal.pone.0291625.pdf,Research Papers
Paper - Kane-KIW-02-11-2019-Automated-microfluidic-cell-culture-of-stem-cell-derived-dopam,Kane-KIW-02-11-2019-Automated-microfluidic-cell-culture-of-stem-cell-derived-dopaminergic-neurons---PubMed (1),,2019,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/Kane-KIW-02-11-2019-Automated-microfluidic-cell-culture-of-stem-cell-derived-dopaminergic-neurons---PubMed (1).pdf,Microfluidics
Paper - Kane-KIW-02-11-2019-Automated-microfluidic-cell-culture-of-stem-cell-derived-dopam (2),Kane-KIW-02-11-2019-Automated-microfluidic-cell-culture-of-stem-cell-derived-dopaminergic-neurons---PubMed,,2019,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/Kane-KIW-02-11-2019-Automated-microfluidic-cell-culture-of-stem-cell-derived-dopaminergic-neurons---PubMed.pdf,Microfluidics
"Paper - Leung,-Chak-Ming-2022-05-12-A-guide-to-the-organ-on-a-chip","Leung,-Chak-Ming-2022-05-12-A-guide-to-the-organ-on-a-chip",,2022,"/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/Leung,-Chak-Ming-2022-05-12-A-guide-to-the-organ-on-a-chip.pdf",Organ-on-Chip;Reference and Textbook
"Paper - Li,-Songhao-2025-09-24-A-co-evolving-agentic-AI-system-for-medical-imaging-analysi","Li,-Songhao-2025-09-24-A-co-evolving-agentic-AI-system-for-medical-imaging-analysis",,2025,"/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/Li,-Songhao-2025-09-24-A-co-evolving-agentic-AI-system-for-medical-imaging-analysis.pdf",Research Papers
Paper - Liu 2026 Biofabrication 18 013001,Liu 2026 Biofabrication 18 013001,,2026,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/Liu_2026_Biofabrication_18_013001.pdf,Biofabrication
Paper - luo-et-al-2024-review-of-ionic-conductivity-properties-of-nasicon-type-inorganic-s,luo-et-al-2024-review-of-ionic-conductivity-properties-of-nasicon-type-inorganic-solid-electrolyte-latp,,2024,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/luo-et-al-2024-review-of-ionic-conductivity-properties-of-nasicon-type-inorganic-solid-electrolyte-latp.pdf,Research Papers
